DCID,isPerCapitaValid,isPositiveIndicator,perCapitaDenominator
Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_ISICOtherActivities_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,,,
Amount_EconomicActivity_GrossValueAdded_RealValue,,,
Amount_Emissions_CarbonDioxide_PerCapita,n,,
Amount_FarmInventory_BarleyForGrain,,,
Amount_FarmInventory_CornForSilageOrGreenchop,,,
Amount_FarmInventory_Cotton,,,
Amount_FarmInventory_DryEdibleBeans,,,
Amount_FarmInventory_DurumWheatForGrain,,,
Amount_FarmInventory_Forage,,,
Amount_FarmInventory_OatsForGrain,,,
Amount_FarmInventory_OtherSpringWheatForGrain,,,
Amount_FarmInventory_PeanutsForNuts,,,
Amount_FarmInventory_PimaCotton,,,
Amount_FarmInventory_Rice,,,
Amount_FarmInventory_SorghumForGrain,,,
Amount_FarmInventory_SorghumForSilageOrGreenchop,,,
Amount_FarmInventory_SugarbeetsForSugar,,,
Amount_FarmInventory_SunflowerSeed,,,
Amount_FarmInventory_UplandCotton,,,
Amount_FarmInventory_WheatForGrain,,,
Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy,n,,
Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy,n,,
Amount_Remittance_InwardRemittance,,,
Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,n,,
Amount_Remittance_OutwardRemittance,,,
Amount_Stock,,,
Amount_Stock_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,n,,
Amount_FarmInventory_CornForGrain,,,
AnnualChange_Stocks_Fuel_AviationGasoline,,,
AnnualChange_Stocks_Fuel_BituminousCoal,,,
AnnualChange_Stocks_Fuel_BrownCoal,,,
AnnualChange_Stocks_Fuel_CokeOvenCoke,,,
AnnualChange_Stocks_Fuel_CrudeOil,,,
AnnualChange_Stocks_Fuel_DieselOil,,,
AnnualChange_Stocks_Fuel_FuelOil,,,
AnnualChange_Stocks_Fuel_HardCoal,,,
AnnualChange_Stocks_Fuel_Kerosene,,,
AnnualChange_Stocks_Fuel_KeroseneJetFuel,,,
AnnualChange_Stocks_Fuel_LiquifiedPetroleumGas,,,
AnnualChange_Stocks_Fuel_Lubricants,,,
AnnualChange_Stocks_Fuel_MotorGasoline,,,
AnnualChange_Stocks_Fuel_Naphtha,,,
AnnualChange_Stocks_Fuel_NaturalGas,,,
AnnualChange_Stocks_Fuel_OtherBituminousCoal,,,
AnnualChange_Stocks_Fuel_OtherOilProducts,,,
AnnualChange_Stocks_Fuel_PetroleumCoke,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_27_NaturalSources,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Acetaldehyde_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Ammonia_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Ammonia_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Ammonia_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Ammonia_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Ammonia_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Ammonia_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_Ammonia_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Ammonia_SCC_27_NaturalSources,,,
Annual_Amount_Emissions_Ammonia_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Ammonia_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Ammonia_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Ammonia_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Ammonia_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Arsenic_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Arsenic_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Arsenic_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Arsenic_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Arsenic_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Arsenic_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Arsenic_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Arsenic_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Arsenic_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Arsenic_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Arsenic_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Asbestos_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Benzene_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Benzene_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Benzene_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Benzene_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Benzene_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Benzene_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_Benzene_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Benzene_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Benzene_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Benzene_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Benzene_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Benzene_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Cadmium_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Cadmium_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Cadmium_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Cadmium_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Cadmium_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Cadmium_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Cadmium_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Cadmium_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Cadmium_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Cadmium_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Cadmium_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_22_MobileSources,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_CarbonDioxide_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_22_MobileSources,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_27_NaturalSources,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_CarbonMonoxide_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_ChemicalAndAlliedProductManufacturing_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_Chlorane_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Chlorane_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Chlorane_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Chlorane_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Chlorane_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Chlorane_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Chlorane_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Chlorane_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Chlorane_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Chlorane_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Chlorine_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Chlorine_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Chlorine_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Chlorine_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Chlorine_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Chlorine_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Chlorine_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Chlorine_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Chlorine_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Chlorine_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Chloroform_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Chloroform_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Chloroform_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Chloroform_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Chloroform_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Chloroform_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Chloroform_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Chloroform_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Chloroform_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Chloroform_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Chromium_6_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Chromium_6_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Chromium_6_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Chromium_6_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Chromium_6_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Chromium_6_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Chromium_6_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Chromium_6_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Chromium_6_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Chromium_6_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Chromium_6_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Cobalt_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Cobalt_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Cobalt_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Cobalt_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Cobalt_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Cobalt_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Cobalt_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Cobalt_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Cobalt_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Cobalt_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Cobalt_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Cyanide_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Cyanide_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Cyanide_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Cyanide_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Cyanide_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Cyanide_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Cyanide_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Cyanide_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Cyanide_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_EPAFuelCombustionOther_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_EPAMiscellaneousEmissionSource_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_EPAOtherIndustrialProcesses_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_Fluorane_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Fluorane_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Fluorane_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Fluorane_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Fluorane_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Fluorane_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Fluorane_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Fluorane_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Fluorane_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Formaldehyde_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Formaldehyde_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Formaldehyde_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Formaldehyde_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Formaldehyde_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Formaldehyde_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Formaldehyde_SCC_27_NaturalSources,,,
Annual_Amount_Emissions_Formaldehyde_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Formaldehyde_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Formaldehyde_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Formaldehyde_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Formaldehyde_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_FuelCombustionElectricUtility_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_FuelCombustionIndustrial_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_Hexane_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Hexane_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Hexane_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Hexane_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Hexane_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Hexane_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_Hexane_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Hexane_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Hexane_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Hexane_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Hexane_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Hexane_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_Ammonia,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_CarbonMonoxide,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_OxidesOfNitrogen,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_PM10,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_PM2.5,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_SulfurDioxide,,,
Annual_Amount_Emissions_IndustrialAndOtherProcesses_NonBiogenicEmissionSource_VolatileOrganicCompound,,,
Annual_Amount_Emissions_Lead_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Lead_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Lead_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Lead_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Lead_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Lead_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_Lead_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Lead_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Lead_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Lead_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Lead_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Lead_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Manganese_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Manganese_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Manganese_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Manganese_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Manganese_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Manganese_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Manganese_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Manganese_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Manganese_SCC_3_IndustrialProcesses,,,
Annual_Amount_Emissions_Manganese_SCC_4_PetroleumAndSolventEvaporation,,,
Annual_Amount_Emissions_Manganese_SCC_5_WasteDisposal,,,
Annual_Amount_Emissions_Mercury_SCC_1_ExternalCombustion,,,
Annual_Amount_Emissions_Mercury_SCC_21_StationarySourceFuelCombustion,,,
Annual_Amount_Emissions_Mercury_SCC_22_MobileSources,,,
Annual_Amount_Emissions_Mercury_SCC_23_IndustrialProcesses,,,
Annual_Amount_Emissions_Mercury_SCC_24_SolventUtilization,,,
Annual_Amount_Emissions_Mercury_SCC_25_StorageAndTransport,,,
Annual_Amount_Emissions_Mercury_SCC_26_WasteDisposalTreatmentAndRecovery,,,
Annual_Amount_Emissions_Mercury_SCC_28_MiscellaneousAreaSources,,,
Annual_Amount_Emissions_Mercury_SCC_2_InternalCombustionEngines,,,
Annual_Amount_Emissions_Mercury_SCC_3_IndustrialProcesses,,,
